School Name,School Type,School Level,Regents Exam,Year,Demographic Category,Total Tested,Mean Score,Number Scoring Below 65,Percent Scoring Below 65,Number Scoring 65 or Above,Percent Scoring 65 or Above,Number Scoring 80 or Above,Percent Scoring 80 or Above
P.S. 034 Franklin D. Roosevelt,General Academic,K-8,Common Core Algebra,2017,All Students,4,,,,,,,
P.S. 034 Franklin D. Roosevelt,General Academic,K-8,Living Environment,2015,All Students,16,77.9,1,6.3,15,93.8,7,43.8
P.S. 034 Franklin D. Roosevelt,General Academic,K-8,Living Environment,2016,All Students,9,74.0,1,11.1,8,88.9,2,22.2
P.S. 140 Nathan Straus,General Academic,K-8,Common Core Algebra,2016,All Students,3,,,,,,,
P.S. 140 Nathan Straus,General Academic,K-8,Common Core Algebra,2017,All Students,2,,,,,,,
P.S. 140 Nathan Straus,General Academic,K-8,Living Environment,2015,All Students,9,67.4,3,33.3,6,66.7,0,0.0
P.S. 140 Nathan Straus,General Academic,K-8,Living Environment,2016,All Students,15,72.6,2,13.3,13,86.7,5,33.3
P.S. 140 Nathan Straus,General Academic,K-8,Living Environment,2017,All Students,9,64.4,5,55.6,4,44.4,1,11.1
P.S. 184m Shuang Wen,General Academic,K-8,Common Core Algebra,2015,All Students,49,78.4,1,2.0,48,98.0,23,46.9
P.S. 184m Shuang Wen,General Academic,K-8,Common Core Algebra,2016,All Students,51,79.0,9,17.6,42,82.4,33,64.7
P.S. 184m Shuang Wen,General Academic,K-8,Common Core Algebra,2017,All Students,51,84.8,0,0.0,51,100.0,44,86.3
P.S. 184m Shuang Wen,General Academic,K-8,Living Environment,2017,All Students,55,83.9,1,1.8,54,98.2,43,78.2
P.S. 188 The Island School,General Academic,K-8,Common Core Algebra,2015,All Students,23,62.9,14,60.9,9,39.1,0,0.0
P.S. 188 The Island School,General Academic,K-8,Common Core Algebra,2016,All Students,22,69.0,6,27.3,16,72.7,2,9.1
P.S. 188 The Island School,General Academic,K-8,Common Core Algebra,2017,All Students,20,67.4,7,35.0,13,65.0,1,5.0
P.S. 188 The Island School,General Academic,K-8,Common Core English,2016,All Students,1,,,,,,,
P.S. 188 The Island School,General Academic,K-8,Living Environment,2016,All Students,17,62.1,9,52.9,8,47.1,0,0.0
P.S. 188 The Island School,General Academic,K-8,Living Environment,2017,All Students,3,,,,,,,
Orchard Collegiate Academy,General Academic,High school,Algebra2/Trigonometry,2015,All Students,5,,,,,,,
Orchard Collegiate Academy,General Academic,High school,Algebra2/Trigonometry,2016,All Students,5,,,,,,,
